bar-33ff6b175792aa714479da7bfa009a5a	Kansd di d Entfern von der Erde zum Mond berechnen?
bar-7d288634c377255ecf19620fa6dffe87	Des woaß i ned, ich habe es noch nicht probiert.
bar-dd1358711505a2974655f43077ac3255	Da Meister im da Fliegengewichtsklasse kämpft gegen einen ernstzunehmenden Herausforderer.
bar-b92299320c19694a888b830b26676d43	Moa wui oiwei des haben, was man nicht bekommen kann.
bar-35f067952a44678e9adfc73f083503c4	I hear gern Musi, aber noch lieber mache ich welche.
bar-b26c16d6836e13fd5d6855671a01fbd6	I ko da fei nicht genug danken für deine Hilfe.
bar-8f81f8fc3c098aebd46530aacc6c8231	Deifi zua Griaß, Buam General, wir wollen am Himmelfahrtskommando teilnehmen!
bar-41f9c427dd70eb564df6fbf6fa6326cc	D'Tom is beim Start der letzten Woche sein Wagen gestohlen.
bar-0461d07bdcdfe02734cad06ff47f18e4	Wos seng zua mocha lohnt, lohnt sich, gut zu tun.
bar-debded83b17aa17dc6d12d52c5f5d500	Des is ganz des, was Tom und ich gesucht haben.
bar-39936489687dd8fbc2b425772b77b736	Aiso verführerisch dei Offerte auch ist, ich muss es ablehnen.
bar-d40a53b7c08d777c8a058eff78bc2f93	Vui Leit loss ma durch die Mühlen der Justiz verschwinden.
bar-15f9598d13a5c2f54913833dbbc19474	I hob da ois gesagt, was ich über Deutschland weiß.
bar-0e3c4854df7b8f4f55caa76e44375bfd	Wia de Oide ei den Hof kam, war alles bereit.
bar-f771eff6802322aa6a1a78eb9561781b	Ned oa Preiß sauft gern Bier, nicht einmal jeder Bayer.
bar-858b45f1fa00c9330ac09a7b3ae46cb5	Ea opfa sei eigns Leben, um das Mädchen zu retten.
bar-ee50ea2adc6b92e78538693ecb713794	D'Tom wia d'Mary san populärer als Bill und Hillary Clinton.
bar-e3de85c6a3952398284be56360ba632d	Seidn de beim Friah aufgestanden ist, fühlt sie sich schwindlig.
bar-f285ad7005238f2365bc01fd67c8f1f5	D'Tom is mitn seim vierundachtzig Jahren schon ein alter Mann.
bar-38348b8514cb12440304e9157610cd00	Ea is ois voa recht kurzer Zeit nach Coventry gezogen.
bar-591411d152e9a86b49073f4f7bde4445	Vagiß ned dein Doi an den Ursachen deines jetzigen Unglücks!
bar-1ecb5240f22abd27e58f98fb369528d1	D'Tom mocht wia, wenn ob er mich nicht sehen würde.
bar-0b942d95f2b43ecad7eab24f56c63e50	Sog Se bittschee Tomerl nichts davon, was wir getan haben!
bar-f5e03706b7c2ac126419bbfab11d1d1b	I kann oana, dea sich für dein Projekt interessieren könnte.
bar-1c427da5c809815ff4e56f0e1dc623f2	Ohna Liab zua se selbst ist auch die Nächstenliebe unmöglich.
bar-6134a2b037b88aa6a1ba32da9f03182d	Woherd kimmt s, dassd mich niemand versteht und jeder mag?
bar-756d818d7a3805810da5e0e4abb84729	Wennst Du ned gschert sind, machen Sie wieder einen Fehler.
bar-65dca752a62025f63dd08a73a5dab3b5	D'Tom wui gern wissn, wie viel Gepäck Maria mitzunehmen gedachte.
bar-31a5d41079d10901ec6f9e8c00401f42	Ned wia wia de in dem Bus, den er lenkte.
bar-1479895d15719760346f1664bd487e7e	Des is a griabte Strafe für ein recht mäßiges Bemühen.
bar-a22d4f188cfe3dafe24bc59a99dfdbc5	I hoff, dassd D'Tom nichts macht, was er nicht soll.
bar-9de6a5d795eb17c21845c7507a6b2daa	Ea hod mi ned gefragt, ob er das machen darf.
bar-834a35a62426014210bbd017c42e5ac1	Glückseligkeit gschmeidig durcha Höh aus, was ihm an Länge fehlt.
bar-89b78cf7f538da4a147aa0a5bdc0c875	I ko ma ned vorstellen, dass niemand das gehört hat.
bar-b3bf43a29e2846271b4a6ac7ad7941b9	Drum ko a si so dumm benehmen, wie es will.
bar-006de768977a5bd09383ee6f16de728c	I dat mei, oba das ist alles, was ich habe.
bar-aacce8536272732a34b2042dbcd3de35	Se blinzlte ma hi, das bedeutete anscheinend "Ich liebe dich".
bar-818b13055f0b85569383adde35403a85	D'Tom ko d'Mary ned, aber er würde sie gern treffen.
bar-67e85615a7c929859740647cc6f62483	I dat gfrein, wennst man dieses Kompliment mir machen könnte.
